topicId,rank,docId,filename
0,0,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
0,1,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
0,2,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
0,3,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
0,4,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
0,5,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
0,6,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
0,7,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
0,8,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
0,9,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
0,10,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
0,11,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
0,12,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
0,13,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
0,14,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
0,15,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
0,16,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
0,17,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
0,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
1,0,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
1,1,3,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Poetics.txt
1,2,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
1,3,4,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_politics.txt
1,4,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
1,5,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
1,6,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
1,7,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
1,8,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
1,9,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
1,10,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
1,11,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
1,12,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
1,13,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
1,14,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
1,15,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
1,16,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
1,17,8,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_TheMento.txt
1,18,0,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Gorgias.txt
2,0,12,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Physics.txt
2,1,13,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Plotinus_SixEnneads.txt
2,2,15,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_Metaphysics.txt
2,3,1,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Republic.txt
2,4,14,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_MarcusAureliusAntonius_Meditations.txt
2,5,5,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_SelectedLettersShuckburgh.txt
2,6,6,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Xenophon_TheSymposium.txt
2,7,16,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Aristotle_NicomacheanEthics.txt
2,8,18,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedrus.txt
2,9,10,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Symposium.txt
2,10,7,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OldAge.txt
2,11,9,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Phaedo.txt
2,12,2,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_Cicero_OnFriendshipOrLaelius.txt
2,13,17,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Rome_EmperorJulian_Mispogon.txt
2,14,11,file:/Users/brandonlocke/Desktop/GreekRomanTexts/texts/Greece_Plato_Crito.txt
